time,steps,chi,alpha,qubit_amp,detuning,err
2000,250,-6.599999999999999e-05,30,0.01,-0.01,1.2003816664218903e-05
500,250,-6.599999999999999e-05,30,0.001,-0.01,0.9049152135848999
1000,250,-6.599999999999999e-05,30,0.001,-0.01,0.5800127387046814
1500,250,-6.599999999999999e-05,30,0.001,-0.01,0.2098197638988495
2000,250,-6.599999999999999e-05,30,0.001,-0.01,0.009895086288452148
500,250,-6.599999999999999e-05,30,0.0001,-0.01,0.9999934434890747
1000,250,-6.599999999999999e-05,30,0.0001,-0.01,0.9993826746940613
1500,250,-6.599999999999999e-05,30,0.0001,-0.01,0.9972642064094543
2000,250,-6.599999999999999e-05,30,0.0001,-0.01,0.9930383563041687
500,250,-0.0006600000000000001,15,0.01,-0.01,9.179115295410156e-06
1000,250,-0.0006600000000000001,15,0.01,-0.01,9.506940841674805e-06
1500,250,-0.0006600000000000001,15,0.01,-0.01,9.894371032714844e-06
2000,250,-0.0006600000000000001,15,0.01,-0.01,9.745359420776367e-06
500,250,-0.0006600000000000001,15,0.001,-0.01,0.09751957654953003
1000,250,-0.0006600000000000001,15,0.001,-0.01,9.21543687582016e-06
1500,250,-0.0006600000000000001,15,0.001,-0.01,9.268522262573242e-06
2000,250,-0.0006600000000000001,15,0.001,-0.01,9.834766387939453e-06
500,250,-0.0006600000000000001,15,0.0001,-0.01,0.9799244403839111
1000,250,-0.0006600000000000001,15,0.0001,-0.01,0.9096338152885437
1500,250,-0.0006600000000000001,15,0.0001,-0.01,0.8082491159439087
2000,250,-0.0006600000000000001,15,0.0001,-0.01,0.6869208216667175
500,250,-0.0006600000000000001,20,0.01,-0.01,9.894371032714844e-06
1000,250,-0.0006600000000000001,20,0.01,-0.01,9.149312973022461e-06
1500,250,-0.0006600000000000001,20,0.01,-0.01,2.562999725341797e-06
2000,250,-0.0006600000000000001,20,0.01,-0.01,0.00013619661331176758
500,250,-0.0006600000000000001,20,0.001,-0.01,0.030281253159046173
1000,250,-0.0006600000000000001,20,0.001,-0.01,9.745359420776367e-06
1500,250,-0.0006600000000000001,20,0.001,-0.01,9.566545486450195e-06
2000,250,-0.0006600000000000001,20,0.001,-0.01,2.0682811737060547e-05
500,250,-0.0006600000000000001,20,0.0001,-0.01,0.9666735529899597
1000,250,-0.0006600000000000001,20,0.0001,-0.01,0.8624846935272217
1500,250,-0.0006600000000000001,20,0.0001,-0.01,0.7168198227882385
2000,250,-0.0006600000000000001,20,0.0001,-0.01,0.5786945819854736
500,250,-0.0006600000000000001,25,0.01,-0.01,9.5367431640625e-06
1000,250,-0.0006600000000000001,25,0.01,-0.01,1.411139965057373e-05
1500,250,-0.0006600000000000001,25,0.01,-0.01,-1.615285873413086e-05
2000,250,-0.0006600000000000001,25,0.01,-0.01,0.0005662441253662109
500,250,-0.0006600000000000001,25,0.001,-0.01,0.05076718330383301
1000,250,-0.0006600000000000001,25,0.001,-0.01,9.924173355102539e-06
1500,250,-0.0006600000000000001,25,0.001,-0.01,9.953975677490234e-06
2000,250,-0.0006600000000000001,25,0.001,-0.01,1.294165849685669e-05
500,250,-0.0006600000000000001,25,0.0001,-0.01,0.9514525532722473
1000,250,-0.0006600000000000001,25,0.0001,-0.01,0.8176868557929993
1500,250,-0.0006600000000000001,25,0.0001,-0.01,0.6619625091552734
2000,250,-0.0006600000000000001,25,0.0001,-0.01,0.5349905490875244
500,250,-0.0006600000000000001,30,0.01,-0.01,9.953975677490234e-06
1000,250,-0.0006600000000000001,30,0.01,-0.01,2.0742416381835938e-05
1500,250,-0.0006600000000000001,30,0.01,-0.01,-0.00030803680419921875
2000,250,-0.0006600000000000001,30,0.01,-0.01,0.003081202507019043
500,250,-0.0006600000000000001,30,0.001,-0.01,0.09662267565727234
