exact fidelity,bo_fidelity,betas_r,betas_i,gammas_r,gammas_i,phis,thetas
0.9954101832945029,0.99541944,"[-0.13434817, 0.064873435, 0.028837385, 0.09745285, 0.69198245, 0.26970804, 0.70575327, -0.007540565, -0.37548116, 0.13083169]","[-1.1718981, -0.005951176, 0.11952243, 0.74012125, -0.3392997, 0.45248508, -0.14232501, 0.6994287, -0.022557236, 1.1845045]","[0.3952284, 0.39807162, -0.2416246, -0.49088234, -0.359523, -0.43842268, -0.67291373, -0.020090519, 0.18362534, -0.37311766]","[1.0193292, 0.10774773, 0.6411945, -0.3488023, 0.3250098, -0.46122736, 0.19520307, -0.28146166, -0.16814019, -1.0533723]","[0.0, -0.25606656, 1.6486723, 1.1250317, 0.79213166, 2.6117342, -1.0943444, 0.38715315, 0.5506704, 2.8035772]","[-0.029075384, 1.589442, 1.7153823, 1.757087, -1.2909902, -1.6710417, -1.5531545, -1.7267174, -1.5511318, -1.5819533]"
0.9961510720410418,0.99689186,"[-0.5323491, 0.17488065, 0.18488207, 0.00040602186, 0.0069162743, -0.011571754, 0.73705536, 0.5003155, -0.2805712, -0.5260365]","[0.40944073, 0.33060774, 0.33858046, 0.0015742774, 0.004639665, 1.2984452, 0.21793301, -0.49217188, -0.40452197, 0.40974048]","[-1.0163183, -3.339142, -3.7376442, 0.5392238, 0.15069135, -1.278088, -0.010614919, 0.008146627, 0.0068392525, -1.0304775]","[0.4193015, -1.2887808, -1.5735607, -0.49762562, 0.7443078, -0.02615003, 0.0034941202, 0.010394706, -0.007598891, 0.40440303]","[0.0, -2.6540499, -3.0331106, 1.722667, -1.2300931, -2.089254, 0.88815475, -2.6704452, 0.49040937, 2.4050615]","[-3.1135798, -1.6277546, -3.1389937, 1.9205401, -1.951977, -2.0339866, -1.1834204, 1.1297457, -1.1449544, 1.5578992]"
0.9960455489156039,0.99605674,"[0.053415544, 0.03276061, -0.72671664, 0.5073821, -0.51352686, -0.22046962, -0.0599462, 0.80383176, -0.27210292, 0.0014610555]","[0.00043730208, 0.20563652, 0.8263402, 0.54939485, 0.32522902, -0.14375542, -0.7107893, 1.3080335, 0.33634174, -0.00078481325]","[0.4370692, -0.1796887, -0.7677486, 0.09254911, -1.10063, -0.6101924, 1.0843457, -0.29184446, 0.18964969, 0.0041147317]","[0.21173628, 0.84380805, -0.2304579, 0.42513344, -0.003852563, -0.49560845, 1.3933787, -0.365733, -0.068237565, 0.0013014686]","[0.0, -1.5717974, -1.5714543, 1.5722821, 1.5694764, -1.570074, 1.5726559, -1.5703548, 1.5689671, 0.00089788437]","[-1.5706296, 1.4895356, 1.0034211, 1.6622422, -1.5371363, -1.924641, -0.63418555, -0.14986157, -1.5508114, 1.5705464]"
0.9955136565017592,0.9955268,"[-0.023599532, 0.12864238, -0.1544991, 1.1223801, -0.42071894, -0.15147737, -0.6548285, -0.04524637, -0.36587209, 0.24487107]","[0.17487738, 0.06771363, -0.7662739, 0.85595816, -0.9306327, -0.5358791, 0.163964, 0.54410446, 0.017860554, 0.18389456]","[-0.41124973, 0.16735496, 0.7593758, -0.41310588, 0.5796703, 0.6680642, -0.16842061, 0.017751444, -0.021422172, 0.0133991]","[0.14435014, 0.7470328, -0.1817234, 1.2285705, -0.8701371, -0.28733325, -0.5884683, 0.023800328, 0.007999625, 0.013435581]","[0.0, -1.5606408, 1.6027138, 1.6216185, -1.5150527, 1.6330898, 1.6402161, -1.0444472, 2.911342, -1.3905357]","[1.5928729, 1.4919174, -1.476476, 1.473964, 0.18991017, -1.7089945, -1.4191298, 1.4341123, 2.2728279, 0.82562137]"
0.995435326409798,0.9954473,"[0.00038583355, 0.010304817, 0.028765421, -0.3827391, -1.5976481, -0.45824784, 0.2841676, -0.38971227, 0.77225477, -0.56357557]","[0.0044177007, -0.018102003, 0.02179125, 0.69969153, 0.28505376, 0.6039621, 0.6654419, 0.12630603, -0.13679335, 0.08393974]","[0.6786639, 0.4678808, -0.71788025, 0.86706346, 0.039025832, 0.050557848, -0.14602575, -0.08116428, 0.1479084, -0.16134399]","[-0.035015885, 0.6810722, -0.47470486, 0.62539977, 1.9022025, -0.0672526, 0.048446227, -0.048155967, 0.14372885, -0.14298445]","[0.0, -1.3452626, 1.9926999, -1.0770557, 0.30014873, -1.5684384, 1.5949738, 2.2437384, -2.229773, -2.5945005]","[-1.5263152, 2.5195239, -1.5366302, 2.076894, -3.1201885, 1.1431496, -1.1174262, 2.0144403, 1.2757075, -0.31594205]"
0.995630297534452,0.99563974,"[-0.0053952704, -0.011230764, -0.010824246, 0.0025068629, 0.92059594, -0.89867556, -0.0016196241, -0.49631068, 0.7394258, 0.6136315]","[0.0019077185, 0.005853403, 0.006567984, -0.002294278, -1.2668998, -0.8730648, -0.6452991, 0.9965864, -1.0113702, -0.87749654]","[-0.038381312, -0.6908275, -1.489343, -0.60254264, -0.7835308, 0.0018624745, 0.00032588054, 0.0016088459, 0.7184595, 0.7693579]","[-0.559946, -0.5464395, -0.47817928, -0.47776854, 1.0638589, 0.0013240158, -1.4010463e-05, 0.00035384748, 1.1195048, 1.0593157]","[0.0, 1.5325372, 1.73052, 1.9503105, -1.095568, -1.0194759, -0.55930257, -0.3712561, -2.0188859, -0.027236223]","[-1.6246727, -1.2640513, -3.0303385, -1.4045855, -2.3392124, -1.5336277, -2.1440282, 0.7982633, 1.3786862, -3.1317265]"
0.9956470639495643,0.9956577,"[1.6138869e-05, -0.00058515626, -5.7298028e-05, -0.28178468, -1.3651927, -1.3526512, -0.7620292, -0.67199093, -0.4537248, 0.0025560695]","[4.1656784e-07, -0.00031808345, 0.00080455537, -0.14078604, -1.0532423, 0.5895237, 0.67575383, 0.6906479, -0.3962692, 0.0397554]","[-0.013051703, 0.27022335, 1.1322314, -2.6202316, 2.2954624, 0.018446615, 0.0135479765, -0.00019784269, -0.0048710327, 0.0007979766]","[-1.2203062, -0.64830697, -0.34614617, -0.16273984, -1.3702071, -0.012867318, -0.011458012, 0.00010563829, -0.003150157, 0.0040266477]","[0.0, -1.5783584, -1.5878719, 1.558984, -1.5809083, 1.6723683, 1.8404901, -1.211218, -1.1482745, 0.42036128]","[1.5699475, 2.536854, 1.9831378, -1.5300605, 0.040070057, 2.9621928, 2.728133, 1.543606, -1.8215821, -1.5494536]"
0.9949971649154384,0.9949994,"[-0.0058465754, 0.0040344223, 0.0048983083, -0.09838083, -1.9534004, -2.1356769, 1.0194966, 0.75376177, 0.3869157, 0.027360443]","[0.23586836, -0.0051197396, 0.029050592, 2.1019409, -1.3502586, 0.781269, -1.2676975, 0.547227, -0.5042816, -0.25248212]","[0.23466308, -0.12494462, -0.8728569, -0.25243497, 0.120748095, -0.97975403, 1.2469285, 0.00031600322, -0.028361497, -0.20680065]","[-1.1638896, 0.5317287, -0.15863663, 1.5821569, 0.0019465234, 1.2059737, -1.0890409, -0.0029217904, -0.02542574, 1.0655991]","[0.0, 3.022167, 1.4343798, -0.5085888, -0.54292655, 1.7967713, -1.18892, 1.0497811, 1.288543, 2.9921067]","[-0.13555598, -1.4189367, 1.3641584, 1.5468323, -0.23045301, 2.9544628, -0.42773032, 1.5845506, -1.6247642, 1.5896595]"
0.996777919428052,0.9967896,"[-0.0091952095, -0.0059313513, 0.03329, -0.98600817, -0.5950212, -0.08825564, -0.753633, 0.34815475, 0.43490636, -0.0022623162]","[-0.07670327, -0.015536035, 0.12815379, 0.2302939, 0.42542943, -1.1246446, -0.07857318, -0.6078445, 0.23886232, 0.0037647323]","[0.3223123, -0.2770297, 0.58476394, 1.1769708, 0.37651646, 0.09844819, 0.30562654, -0.06238643, -0.108247496, 0.00334673]","[0.33131698, -2.0219207, 1.368075, -0.022004666, -0.3702444, 1.040352, 0.1431683, 0.27172288, -0.020376315, 0.0019156937]","[0.0, -1.5688759, -2.971778, -1.5651125, 1.5957339, -1.5268657, -1.5242264, 1.6159279, 1.6138594, -3.10656]","[-1.5761349, -1.8640035, -0.0040209293, 0.9540765, -2.7369711, -1.471364, -1.4398974, -1.9281479, -2.043312, -1.5768704]"
0.9961084104412701,0.9962057,"[-0.98479784, -0.08985412, 2.3343237e-05, 0.011412078, -1.0041174, 0.15964328, -0.04010324, -0.65331554, 0.12283893, 0.9738079]","[3.016957, -0.0694348, -1.5636895e-05, -0.4124314, 0.2696155, 0.8060014, -0.765097, 0.04472879, 0.3671732, -3.0177374]","[-2.2832534, -0.3146167, -0.5036264, 0.7143837, -0.15850466, -0.2602364, 0.3484262, -0.29477206, -0.42717698, 2.2787886]","[-1.3313614, -0.33219108, 0.56787145, 0.145571, -0.9211541, 0.1021438, -0.22113618, -0.46710986, 0.22837098, 1.3275875]","[0.0, 1.098386, -1.1598302, -2.3179443, -0.18079424, -1.6991822, -3.021323, -1.7372925, 1.9314015, 2.1619503]","[0.0010435581, -1.5815451, -1.9396795, 1.9701674, -2.1794693, 2.527571, -1.5301445, 2.3269732, 2.177849, 1.5614808]"
