exact fidelity,bo_fidelity,betas,gammas,phis,thetas
0.9956811475575658,0.9956915,"[-1.3339139e-05-0.005015j   -1.2344093e-02+0.00589828j
  7.7190679e-03-0.0057322j   6.7055441e-04+0.0031186j
 -6.3331500e-03-0.00145837j  1.0300150e+00+1.1855124j
 -8.4443736e-01+0.8532881j  -6.1049893e-02-0.69435275j
 -5.9635729e-01-1.0438627j  -3.8173173e-03+0.00163826j]","[-3.7001166e-01-2.6993409e-01j -1.5182395e+00+1.1922218e+00j
  1.6112249e+00-7.5238585e-01j  4.7904894e-02-3.6529765e-01j
  8.5934073e-01-7.0882468e-03j  6.2882257e-01+1.0927616e+00j
 -7.5378492e-05+3.2081755e-03j  2.8446140e-03-2.5089073e-04j
 -2.4278645e-04+4.6353177e-03j  3.1671274e-02-6.1041374e-02j]","[ 0.         -1.6081117  -0.11915827  2.558933   -2.66602    -2.737548
 -2.743364   -2.7442272   0.39931178  1.9739244 ]","[-1.5799857  -1.5833589   0.04974079  3.0852058  -0.8350558  -1.3421106
 -1.5131491   1.1306388   2.5122998   1.5750196 ]"
0.995597256298479,0.9956086,"[-5.0540209e-02+1.7185865e-01j  1.4577594e-01+6.3306820e-01j
 -1.8479826e-01-7.6248300e-01j -1.0492340e-05-2.5927473e-04j
  3.5174079e-02+4.6762463e-02j  6.7542428e-01+1.3773942e+00j
 -1.0761175e+00+6.8850946e-01j  1.3211383e-01-6.3090700e-01j
 -3.1807974e-01-1.0264598e+00j  3.2946147e-05-6.1202256e-05j]","[-0.37203714+2.8146285e-01j -0.07509391-3.2008314e-01j
 -0.38650978-1.9427130e-01j -0.26350036+7.4590045e-01j
 -1.5983863 +1.5670541e-01j -0.21704309+3.9345041e-01j
  0.04206308-6.3968182e-02j  0.03607211+3.8701523e-02j
  0.08626286+4.3604657e-02j -0.00868786+6.5642974e-04j]","[ 0.        -1.5702305 -1.5412506  1.5683076 -1.5628868 -1.5523659
  1.6064703 -1.5317007 -1.5361258 -3.1045525]","[-1.5762694   1.1179821  -0.12938118  1.9179766   1.2359507   2.7486823
 -1.4814183  -0.9301989   2.3196614  -1.5716956 ]"
0.995768534320979,0.9957792,"[-1.7722945e-03-6.4840685e-03j  1.9215305e-03+1.6915766e-03j
  1.4814819e-03+1.3616829e-03j  5.6689298e-03+1.2009709e-04j
  1.1981632e+00+1.0133312e+00j -7.3461074e-01+9.5043200e-01j
  1.7861035e-01+6.8542117e-01j  1.3821695e+00-8.3963752e-01j
 -6.2874287e-01+1.7652595e+00j -1.9876470e-05-5.9254782e-04j]","[ 0.8220516 +0.73747474j -1.260714  +0.38119462j  0.7213338 -0.6014199j
 -1.0649424 +0.51159006j  1.0165197 +1.1953841j   0.00181891-0.0067688j
  0.0146648 +0.00780309j  0.5389151 -0.38592777j -0.5368366 +0.3788247j
 -0.1444845 -0.18206237j]","[ 0.          1.4303157  -1.557857    1.6792624   2.0503447   2.0882332
  2.116791    2.1650517   2.370845    0.63294554]","[ 1.2686903  -0.83870673  0.13382769  2.1255953  -1.5261133   1.4874384
  2.0348203   2.5179904   0.05080247 -1.5860687 ]"
0.9961980322096846,0.9961656332015991,"[ 0.00109345+0.00198658j -0.16326216-0.17408569j -0.7851695 -0.43266752j
  0.63249475+0.2611014j  -0.00235664-0.0067142j  -0.01141789+1.2995732j
 -0.7334139 -0.22005527j  0.50233537-0.48479632j  0.27935734+0.41252005j
  0.03208151+0.03655409j]","[-2.1656953e-01+4.3009672e-01j -1.0988327e+00+2.4704471e+00j
 -9.3315393e-02+9.9371038e-02j -1.7196085e+00+2.2279449e+00j
  2.4157344e-01+7.2489876e-01j  1.1050509e+00-6.8863654e-01j
  2.0037047e-04-1.7083980e-04j  2.6022976e-03-2.4147576e-03j
  5.3673079e-03+2.5470615e-03j  1.6277974e-02+4.3568485e-03j]","[ 0.        -1.5431215 -1.4426737  1.8569639 -1.3821708  1.7203758
 -1.4761981  1.615896  -1.7054396  2.916948 ]","[-1.5849454  -1.8770442  -3.1230214  -0.00792098 -1.9968109   2.0508487
  1.9622099  -2.0232894   1.9849594  -1.6743532 ]"
0.9953828913863381,0.9953956007957458,"[-6.6622566e-03+0.01356026j  2.5411028e-02+0.00714643j
 -2.6158652e-01-0.5093762j   5.4186475e-02-2.019019j
 -3.1504601e-01+1.5189369j  -8.4651470e-02-1.3845202j
  6.9415367e-01-0.2698864j  -6.3864714e-01-0.40893996j
  9.7972915e-02-0.48011133j -6.7566423e-04-0.00441001j]","[ 0.298279  -5.0846088e-01j  0.70988345+6.0161090e-01j
  0.6174055 -1.2313614e+00j -0.0925909 +2.4272878e-02j
 -0.129737  -2.0152016e+00j -0.02777891+1.9309334e+00j
 -0.00929053+6.5272022e-04j  0.00181583-5.7429154e-03j
  0.02183126+3.2530561e-02j  0.0007712 +9.2126718e-03j]","[ 0.         1.5711396 -1.5667733  1.5862801 -1.414826   1.5814526
 -1.5509835  1.6022623 -1.5595376 -3.126622 ]","[ 1.562547    1.7400582   1.5990374  -2.6885624  -0.06822109 -0.39784074
 -0.8306241  -2.0357704  -1.3932874   1.5816586 ]"
0.9951359695668363,0.9951385259628296,"[ 1.5426273 +0.9064006j   0.6309917 -0.5370979j   0.8345682 -0.5908004j
  0.05535407-0.25681502j -0.10955148-0.04556112j -0.7317045 +0.87034494j
 -0.35927564-0.7349909j   0.7247512 -0.2708203j  -0.04804292+0.46847054j
 -1.5442388 -0.911613j  ]","[ 0.8361839 -1.6006479j   1.5096091 +0.37557766j  1.0161349 +0.26597342j
 -0.14039522+0.68433744j  0.75977874-0.2743742j  -0.7480304 -1.1508204j
 -0.12894426-0.10946476j -0.04725867-0.04771479j -0.06696476-0.03221794j
 -0.84925115+1.5961897j ]","[ 0.        -2.6337707  1.452102   2.0179646 -0.9879534 -1.990403
  1.3275259  2.468571  -2.582642  -1.6242583]","[ 0.00530982  1.5390341   3.1288073   2.1330793  -1.9202833  -1.9128318
 -1.8630065  -2.2115111  -1.751541   -1.54567   ]"
0.9962150372225413,0.996225118637085,"[-0.02521539-0.10547351j -0.18940221-0.00595671j -0.01601289+0.20340176j
 -0.9006911 -0.68897146j -0.01613861+0.28283468j  0.73678786-0.66261965j
 -0.16274498-0.47632053j -0.38568488-1.1719931j   0.46159154+0.09332385j
 -0.0041668 -0.00380575j]","[ 0.42951277+0.24177709j  0.48258442-0.53628623j -0.26502573-0.71268696j
  1.1079032 -0.09631313j  0.18271753+0.12920348j -0.33494925+0.03229767j
 -0.18124364-0.04399771j -0.00328367+0.03943456j -0.09111559+0.03232631j
  0.00910421-0.00477364j]","[ 0.         1.5805223  1.5773532 -1.5531578 -1.539091  -1.5419989
  1.626569   1.8339093 -1.0997393 -2.6820502]","[ 1.5722444  -1.2271295  -1.1309927  -2.0213983  -1.7375739  -0.14812493
  2.245289    3.0984995  -1.734089    1.5719635 ]"
0.9957145787043007,0.9957252740859985,"[-0.00474308+3.4841634e-03j  0.01204125-1.6012928e-02j
  0.0074206 -1.4475532e-02j -0.00690179+5.6707361e-03j
 -1.0856721 -6.7433208e-01j  0.5669741 -5.2313101e-01j
 -0.0890636 -7.8046376e-01j -0.29582593-1.4751692e+00j
 -0.47853723+7.8984471e-03j -0.01012727+8.5802271e-04j]","[-1.2736970e-01-1.2911775j   4.8522985e-01+1.302636j
  5.9105480e-01+0.623817j    9.8291641e-01-0.43530762j
  4.6893060e-01+1.27288j    -1.3019937e-02-0.00194306j
  1.6484123e+00+1.2952563j   1.6487331e+00+1.3059633j
 -7.5949793e-04+0.00259528j -6.6317908e-02+0.07003356j]","[ 0.         -1.463273    2.1499293  -0.3324802   2.9544013   2.853814
  2.8694327   0.31348372  0.90789485 -0.6608448 ]","[ 1.2463481  -0.35300493  2.6548827   1.8306448   1.5646842   2.0166318
  2.0095894  -3.1217444   1.2681053   1.5769627 ]"
0.9961581018806664,0.9961686730384827,"[ 0.76843244-0.5582347j   0.7992765 -0.5618131j  -1.9651313 -1.2560072j
  1.9838746 +1.2514001j   0.00376083-0.01604092j  0.8143647 -0.9600839j
 -0.30366367-0.7788953j  -0.7287125 +0.2556498j   0.12129755-0.4531105j
 -0.00241536+0.00288261j]","[-1.89670071e-01+0.11063429j  8.61616805e-02+1.2779245j
  4.92901057e-01+0.2781381j  -6.10779151e-02+0.27119315j
  1.20258069e+00+0.03916483j  5.92667051e-02+1.5575128j
  1.53750805e-02+0.00677265j -6.12241263e-03-0.00359716j
 -9.83176287e-03+0.00220454j  2.89159270e-05-0.00588578j]","[ 0.         -3.1366167   1.5832665  -0.30586934 -1.5538896   1.5835159
 -1.5531812  -1.5544634  -1.5394646  -3.1057408 ]","[-1.5758473e+00  3.1391318e+00  2.5123899e+00  5.4669380e-04
 -2.0222645e+00  1.5078666e+00  1.3255169e+00  8.6578012e-01
 -1.6657372e+00  1.5570838e+00]"
0.994074071460641,0.9940866231918335,"[-1.6321425e-01-4.1230995e-02j -1.2899786e-01+8.3357215e-02j
  3.7961158e-01-2.2918044e-03j  1.0975236e+00+1.2656071e+00j
 -6.1615169e-01+1.0519422e+00j -1.8018572e-01-6.2224299e-01j
 -7.9070550e-01-8.8095742e-01j -4.4439591e-02+5.8360659e-03j
  1.0212438e-01-5.3476539e-02j -1.6678295e-04+1.2918848e-05j]","[ 5.3709650e-01+1.2558299e+00j  7.0497668e-01+4.2821056e-01j
 -2.0126212e+00+1.4525250e-01j -3.3461768e-03-2.8864703e-01j
 -6.6340409e-02-2.0647779e-01j  6.0581230e-02+1.3046025e-01j
  6.6812271e-01+1.4981905e-01j  1.1855392e+00+1.5060585e+00j
 -8.6564517e-01-6.8556207e-01j  3.1757125e-05-2.1930681e-04j]","[ 0.        -1.5705663 -1.5709103 -1.5710032 -1.5706713  1.5705826
  1.5709822 -1.5709713 -1.5708172 -3.1414015]","[ 1.5710132 -2.316706   0.9511559  1.5210373 -1.5060935 -1.0899298
  2.37546   -1.5618023  0.9579365  1.5705969]"
